# 全件の判定

| # | 出所 | 件名 | 判定 | 根拠 |
| 35 | C | mkCrowdPerson の肩の段差を消す（肩の球の半径と胴の上端を合わせる） | 判定不能 | 肩の球と胴の上端が「段差に見えるか」は絵の判断。半径の数値だけでは可否を決められない（撮って見るしかない） |
| 36 | C | 雲海の島に人を増やす（1島あたり3〜5人） | 未対応 | town3dViewer.js:5881 |
| 37 | C | 頭頂の髪の被りを広げる／髷の角度を寝かせる | 判定不能 | 「地肌の楕円が出るか」は絵の判断。6840行台の髪は 2026-07-31 の評価時点で作り直し済みだが、被りの十分さは撮って見るしかない |
| 38 | C | 樹冠に埋まる人物を取り下げる（__town3dTownAudit に人物×樹冠の判定を足す） | 未対応 | src/engine/town3dViewer.js を /人物.*樹冠/樹冠.*人物/ で探した → 0件 |
| 39 | C | 中間の層を1つ足す（makePeep に顔テクスチャだけ乗せる等） | 未対応 | src/engine/town3dViewer.js の 6590〜6620行 を /faceTex/顔テクスチャ/ で探した → 0件 |
| 40 | D | ほこりに丸い絵柄を1枚与える | 対応済み | town3dViewer.js:7638 |
| 41 | D | 着地地点の前方に大きな物があれば退がる／横へずらす | 対応済み | town3dViewer.js:2556 |
| 42 | D | 音のNaN経路を潰す | 対応済み | src/audio/audio.js:520 |
| 43 | D | 街の下敷き（道路・地面・地被・什器）を区画ごとに束ねる | 未対応 | src/engine/town3dViewer.js を /白.*頂点色.*統合/背景の林.*統合/ で探した → 0件 |
| 44 | D | 観覧車（108コール）を造形の作り直しと同時に束ねる | 未対応 | src/engine/town3dViewer.js を /buildLOD/建物LOD/LOD段階/ で探した → 0件 |
| 45 | D | 実機A/Bで今回の2変更を確認し、良ければ確定 | 判定不能 | #169 と同じ。裕也さんの手作業でしか得られない |
| 46 | D | 窓辺のほこりが四角い（本検収#11で原因確定） | 対応済み | town3dViewer.js:7638 |
| 47 | D | 着地カメラが車の中に入る（本検収#9で原因確定） | 対応済み | town3dViewer.js:2554 |
| 48 | D | 音のNaN混入（本検収で新たに検出・199件） | 対応済み | src/audio/audio.js:520 |
| 49 | D | #260 建物の脱ローポリ・観覧車の作り直し | 未対応 | src/engine/town3dViewer.js を /buildLOD/建物LOD/LOD段階/ で探した → 0件 |
| 50 | D | #244 二重WebGLコンテキスト解放 | 未対応 | src/main.js を /loseContext/ で探した → 0件 |
| 51 | D | #277 歩行の迷子解消 | 未対応 | src/engine/town3dViewer.js を /道しるべ/walkGuide/歩行.*行き先の案内/ で探した → 0件 |
| 52 | D | #270 行き先プレビュー＋渡しショートカット | 未対応 | src/main.js を /行き先/プレビュー/ショートカット/ で探した → 0件 |
| 53 | D | #285 人物を人らしく（進行中） | 未対応 | src/engine/town3dViewer.js の 6796〜6812行 を /buildLegs\(\)/ で探した → 0件 |
| 54 | D | #172 音の拡充（進行中） | 未対応 | public/audio の直下の数 = 9 （情景は全25なので、実音源のある情景の数と比べる） |
| 55 | D | #281 CC0実素材の導入 | 未対応 | public/audio の中身の総数 = 13 （25情景ぶんの環境音を賄うには到底足りない本数） |
| 56 | D | #276 エリア磨き（戦国/大正/谷戸/雲上/江戸） | 判定不能 | #7 と同じ理由（主観） |
| 57 | D | #305 海岸線をさらに入り組ませる | 判定不能 | 汀のディテール（白波・流木・浜草）は addCoastDetail（town3dViewer.js:928）で実装済み。ただし『さらに入り組 |
| 58 | D | #279 角部屋の真3D視差 | 不要になった | src/scenes/cornerRoom.js は 無い |
| 59 | D | #288 キャラ=セル/背景=リアル | 判定不能 | #12 と同じ理由（方針） |
| 60 | D | #232 モノリス分割 | 未対応 | town3dViewer.js:1 |
| 61 | D | #169 実機検証（進行中） | 判定不能 | #1 と同じ理由（実機） |
| 62 | D | Cylinder/Basic/#2a2a30 57個（town直下・材質1つ）を統合（-56 | 対応済み | town3dViewer.js:2816 |
| 63 | D | 公園の同一材質51個を統合（-50） | 対応済み | town3dViewer.js:3291 |
| 64 | D | 285個の白＋頂点色の正体を確定させ、動かない分だけ束ねる（最大-280） | 未対応 | src/engine/town3dViewer.js を /白.*頂点色.*統合/背景の林.*統合/ で探した → 0件 |
| 65 | D | 窓のテクスチャを1枚の共有アトラスへ寄せる（460個が統合可能になる・-400超） | 未対応 | src/engine/town3dViewer.js を /アトラス/atlas/ で探した → 0件 |
| 66 | E | Step3 (a) atmo+wash だけをシェーダーへ（部分移植）— 試作したが保留 | 未対応 | src/engine/town3dViewer.js を /__town3dGradeMode/ で探した → 0件 |
| 67 | E | Step3 (b) 全層移植を実機A/Bで確定 | 未対応 | src/engine/town3dViewer.js を /__town3dGradeMode/ で探した → 0件 |
| 68 | E | 夕(dusk)系での wash soft-light ズレ／atmoの微小ズレの原因を特定す | 判定不能 | CSSの soft-light / radial-gradient のブラウザ実装とシェーダー実装の差。3度の試作でも特定できず、全情景×実 |
| 69 | E | P3見送り: fps低下・長時間モード・時限の解像度降格 | 判定不能 | 「fps/解像度は譲らない」は承認済みの判断。実装しないことが結論＝残タスクではない |
| 70 | E | P3見送り: WebGPU移行 | 判定不能 | 本家 seasons には持ち込まない方針で、複製リポジトリ seasons-gpu で Phase2 まで実施し凍結中。本家の残タスクでは |
| 71 | E | P3見送り: OffscreenCanvas+Worker | 判定不能 | 省電力効果が不確かとして見送り済み。実装しないことが結論 |
| 72 | E | P3見送り: mediump化 | 判定不能 | 描画破綻のリスク対効果が悪いとして見送り済み。実装しないことが結論 |
| 73 | E | P3見送り: #244 2Dコンテキスト解放（発熱には効かない・優先度低のまま） | 未対応 | src/main.js を /loseContext/ で探した → 0件 |
| 74 | E | 残り=建物床のグローバル統合・特殊構造物・建物LOD＝#260の大工事 | 未対応 | src/engine/town3dViewer.js を /buildLOD/建物LOD/LOD段階/ で探した → 0件 |
| 75 | E | 実機検証プロトコル（輝度50%固定・窓辺5分／home低空5分・バッテリー%と温感を記録） | 判定不能 | #169 と同じ。手順書は docs/qa/2026-07-28_実機確認.md に用意済みで、あとは裕也さんが実行するだけ |
| 76 | F | 音の設定値に非有限値（NaN/Infinity）が混入する 【2026-07-30 修正済み | 対応済み | src/audio/audio.js:520 |
| 77 | F | 雲海の高度帯（y≒92）で画面が白い霞にほぼ覆われる 【2026-07-30 修正済み】 | 対応済み | town3dViewer.js:5642 |
| 78 | F | 江戸の近接で地面の一枚板がカメラを割る | 判定不能 | 「画面の下半分がベタ緑になるか」はカメラ位置に依存する絵の破綻。地形の分割数や近接フォグの値を見ても、破綻するかは決まらない（撮って見るしか |
| 79 | F | __applyScene がUI側の情景状態を更新しない（検証用フックの限界） | 判定不能 | src/main.js:414 |
| 80 | F | 前回検収の未反映コミット（07-30時点で11コミット未反映） | 未対応 | git:0 |
| 81 | F | __town3dLand(true) は窓辺からは効かない（検証用フックの限界） | 判定不能 | town3dViewer.js:10368 |
| 82 | F | 前回検収の未反映コミット（07-31時点でさらに増えている） | 未対応 | git:0 |
| 83 | G | GitHub Actions の非推奨警告: actions/upload-artifact | 未対応 | .github/workflows/deploy.yml:33 |
| 84 | H | 建物の窓テクスチャを共有アトラス化するか（実機で発熱を確かめてから判断） | 未対応 | src/engine/town3dViewer.js を /アトラス/atlas/ で探した → 0件 |
| 85 | B | フレーム時間は判断に使えない。判断はすべて描画コールで行った | 判定不能 | 測定の限界の記述であって、やるべきことではない。ただし「実機で測る」（#1/#27）に依存関係として結びつく |
| 86 | B | 前回検収の未反映コミットが残っている。今回の評価もローカル現行版に対するもの | 未対応 | git:0 |

## 内訳
未対応: 51件
対応済み: 10件
不要になった: 2件
判定不能: 23件
合計: 86件
